team,name,position,matches,goals,assists,status
Bournemouth,Alex Scott,F,0,0,0,Injured
Bournemouth,Julian Araujo,D,0,0,0,Injured
Bournemouth,Antoine Semenyo,F,0,0,0,Suspended
Bournemouth,Luis Sinisterra,F,0,0,0,Doubtful
Arsenal,Ben White ,D,0,0,0,Injured
Arsenal,Takehiro Tomiyasu,D,0,0,0,Injured
Aston Villa,D. Martinez,G,0,0,0,Injured
Aston Villa,Jacob Ramsey ,M,0,0,0,Injured
Brentford,M. Jensen,M,0,0,0,Injured
Brentford,Aaron Hickey,M,0,0,0,Injured
Brentford,Joshua Da Silva,M,0,0,0,Injured
Brentford,Kristoffer Ajer,D,0,0,0,Injured
Brentford,Rico Henry,D,0,0,0,Injured
Brighton,Yankuba,M,0,0,0,Injured
Brighton,Ferdi Kadioglu,M,0,0,0,Injured
Brighton,James Milner,M,0,0,0,Injured
Brighton,Jack Hinshelwood,M,0,0,0,Injured
Brighton,Solly March,M,0,0,0,Doubtful
Chelsea,Armando Broja,F,0,0,0,Doubtful
Chelsea,Reece James,D,0,0,0,Injured
Crystal Palace,Daichi Kamada,M,0,0,0,Suspended
Crystal Palace,Matheus França,M,0,0,0,Injured
Crystal Palace,Chadi Riad,M,0,0,0,Injured
Everton,Tim Iroegbunam,M,0,0,0,Injured
Everton,James Garner,M,0,0,0,Injured
Fulham,Carlos Vinícius,F,0,0,0,Doubtful
Fulham,Joachim Andersen,D,0,0,0,Injured
Fulham,Harrison Reed,M,0,0,0,Doubtful
Ipswich,Axel Tuanzebe,D,0,0,0,Injured
Ipswich,Nathan Broadhead,F,0,0,0,Injured
Ipswich,George Hirst,F,0,0,0,Injured
Ipswich,Cieran Slicker,G,0,0,0,Injured
Ipswich,Chiedozie Ogbene,M,0,0,0,Injured
Ipswich,Kalvin Phillips,M,0,0,0,Doubtful
Ipswich,Benjamin Johnson,D,0,0,0,Doubtful
Leicester City,Jakub Stolarczyk,GK,0,0,0,Injured
Leicester City,Issahku Fatawu ,M,0,0,0,Injured
Leicester City,Ricardo Pereira ,D,0,0,0,Injured
Leicester City,Harry Winks ,M,0,0,0,Injured
Leicester City,Caleb Okoli ,D,0,0,0,Doubtful
Liverpool,Diogo Jota,M,0,0,0,Injured
Liverpool,Ibrahima Konate,D,0,0,0,Injured
